*** Connectivity Graph ***
User ID 1		User ID 2		Initial Contribution Each

1		18		1
1		26		4
1		40		6
2		51		1
3		90		20
3		91		20
4		35		5
4		98		8
5		26		6
6		12		5
7		81		14
7		56		15
7		65		2
7		22		4
8		51		0
8		43		26
8		13		0
8		49		9
8		94		21
8		84		19
8		40		1
9		91		1
9		56		11
9		55		1
9		49		1
9		51		7
9		79		3
9		65		19
10		61		1
10		86		1
11		51		6
12		22		0
12		79		3
14		74		9
15		40		7
16		50		4
16		55		0
16		57		7
16		51		7
16		46		6
16		33		1
16		22		1
16		26		1
16		95		19
16		36		6
17		37		12
17		26		9
19		39		15
19		45		1
19		41		39
19		27		0
20		79		2
20		49		24
21		51		3
21		56		7
21		30		5
21		52		3
22		51		18
22		55		4
22		79		2
22		40		1
22		30		16
22		97		17
22		62		0
22		76		8
22		70		0
22		90		1
22		37		4
22		49		6
22		66		25
22		26		21
22		75		1
22		45		7
22		80		43
22		46		6
23		51		5
24		65		10
24		51		1
25		45		0
26		61		4
26		56		67
26		37		7
26		48		15
26		42		10
26		66		0
26		47		8
27		65		6
28		66		10
29		31		11
29		51		2
30		37		2
30		40		2
30		56		8
30		98		3
30		66		17
31		55		3
31		87		1
32		70		11
33		90		5
33		56		16
33		57		49
33		51		2
34		51		4
35		100		9
35		49		51
35		79		10
36		77		5
36		37		6
36		93		6
36		98		9
37		40		6
37		90		10
37		49		2
37		68		7
37		51		8
37		56		6
38		76		2
39		48		0
40		86		5
40		56		1
40		66		8
40		60		11
40		51		7
40		49		24
40		79		42
40		90		0
40		65		0
40		69		16
42		47		4
42		51		3
44		51		2
45		57		10
46		90		8
47		52		29
48		49		2
48		51		4
48		76		20
49		66		2
49		65		11
49		56		0
49		51		9
49		90		22
49		59		17
49		97		18
49		79		3
49		55		5
49		96		9
50		51		0
51		56		32
51		90		26
51		68		12
51		95		2
51		92		7
51		75		16
51		66		3
51		81		11
51		62		6
51		65		0
51		80		29
51		98		8
51		79		18
51		67		1
51		91		4
53		69		7
53		71		26
54		55		6
55		65		4
55		78		12
55		63		4
55		64		13
56		90		12
56		75		1
56		91		12
56		66		6
56		77		10
56		85		25
56		96		10
56		79		3
56		58		6
56		99		8
56		89		2
56		59		1
56		98		44
58		74		0
59		93		6
59		83		1
59		68		9
59		90		4
60		91		3
60		66		1
61		62		6
61		79		12
65		70		16
65		74		23
65		68		9
65		91		17
66		98		46
66		93		21
66		86		3
66		73		4
66		91		1
68		79		10
68		90		8
68		98		8
69		83		20
72		90		29
75		90		27
82		91		1
82		90		18
88		93		6
90		94		22
