*** Connectivity Graph ***
User ID 1		User ID 2		Initial Contribution Each

1		11		1
1		7		2
1		90		47
1		53		5
2		98		25
2		79		0
3		17		40
3		50		6
3		86		15
4		91		21
5		94		5
6		92		4
6		26		8
7		96		1
7		20		22
7		17		8
7		80		28
8		73		0
9		86		15
10		72		3
10		17		5
10		60		2
10		57		15
11		86		25
11		92		5
11		53		15
11		51		3
11		55		32
11		47		18
11		98		3
11		90		10
11		28		13
11		57		0
12		51		0
13		90		3
13		57		6
14		92		0
14		20		10
14		57		8
14		80		34
15		17		34
15		47		17
15		44		26
16		51		1
16		31		11
16		92		3
17		98		4
17		52		13
17		57		6
17		54		0
17		39		17
17		81		4
17		28		3
17		25		14
17		73		1
17		47		11
17		85		7
17		86		0
17		62		6
17		87		10
17		18		12
18		50		1
18		86		10
18		33		3
18		96		0
19		74		11
19		50		7
20		47		2
20		98		3
20		57		1
20		73		22
20		27		6
20		36		5
20		62		17
20		21		0
20		80		2
22		57		3
23		86		23
23		50		4
23		84		23
23		71		4
23		57		7
24		54		3
24		57		5
25		59		3
25		32		9
25		92		4
25		47		11
25		61		9
25		87		3
25		98		13
25		100		2
25		86		16
25		38		12
25		90		17
25		85		17
25		39		10
26		47		1
27		80		20
27		96		2
28		51		25
28		71		11
28		65		70
28		80		18
28		98		2
28		90		4
28		68		1
29		42		0
29		98		35
29		71		0
30		98		13
30		57		14
33		80		13
34		57		0
34		47		19
34		86		7
34		72		4
35		73		1
35		57		1
36		76		0
37		57		6
37		86		23
37		92		33
37		63		31
40		73		1
40		92		2
41		87		0
41		86		5
41		51		5
43		49		3
45		47		1
45		57		6
45		91		16
46		90		4
47		95		2
47		76		21
47		98		22
47		77		15
47		63		0
47		57		1
47		86		0
47		92		12
47		85		21
48		57		0
48		51		7
48		79		4
49		73		4
50		51		8
50		73		14
50		57		26
50		86		3
50		90		20
50		64		5
51		73		5
51		55		3
51		70		0
51		57		9
51		91		10
51		86		10
51		62		3
51		96		0
51		93		1
51		75		10
51		98		32
51		90		4
51		63		7
53		86		3
53		96		0
53		90		18
56		98		3
56		92		10
57		86		19
57		73		17
57		98		0
57		63		0
57		80		6
57		96		1
57		94		0
57		90		9
57		92		17
58		86		6
59		86		2
59		72		7
60		80		4
61		92		4
62		73		0
63		86		24
63		92		6
63		89		9
63		73		0
63		96		8
63		95		4
63		81		12
63		83		5
63		80		29
64		90		4
64		93		2
64		73		1
64		96		1
65		73		13
66		98		8
67		86		0
67		95		6
68		92		10
68		69		12
68		86		10
68		98		12
68		90		0
70		98		4
71		92		10
72		96		7
72		82		3
73		80		1
73		90		8
73		98		8
73		96		12
73		86		22
73		75		13
78		90		12
80		92		11
80		90		16
80		89		13
80		98		38
80		86		19
82		86		3
82		85		30
85		90		5
85		100		5
85		98		14
86		92		22
86		90		1
86		91		4
86		96		4
86		98		7
86		95		2
86		99		3
86		97		3
87		95		6
88		98		0
89		98		17
90		98		15
90		100		0
90		92		17
90		96		2
91		98		21
92		98		6
